ClassCode,ClassName,ProductCode,ProductName
101015,Animales de granja,10101501,Gatos
101015,Animales de granja,10101502,Perros
101015,Animales de granja,10101504,Visón
101015,Animales de granja,10101505,Ratas
101015,Animales de granja,10101506,Caballos
101015,Animales de granja,10101507,Ovejas
101015,Animales de granja,10101508,Cabras
101015,Animales de granja,10101509,Asnos
101015,Animales de granja,10101510,Ratones
101015,Animales de granja,10101511,Cerdos
101015,Animales de granja,10101512,Conejos
101015,Animales de granja,10101513,Cobayas o conejillos de indias
101015,Animales de granja,10101514,Primates
101015,Animales de granja,10101515,Armadillos
101015,Animales de granja,10101516,Ganado vacuno
101015,Animales de granja,10101517,Camellos
101016,Pájaros y aves de corral,10101601,Pollos vivos
101016,Pájaros y aves de corral,10101602,Patos vivos
101016,Pájaros y aves de corral,10101603,Pavos vivos
101016,Pájaros y aves de corral,10101604,Gansos vivos
101016,Pájaros y aves de corral,10101605,Faisanes vivos
101017,Peces,10101701,Salmón vivos
101017,Peces,10101702,Trucha viva
101017,Peces,10101703,Tilapia viva
101017,Peces,10101704,Carpa viva
101017,Peces,10101705,Anguilas vivas
101018,Mariscos e invertebrados acuáticos,10101801,Camarón vivo
101018,Mariscos e invertebrados acuáticos,10101802,Almejas vivas
101018,Mariscos e invertebrados acuáticos,10101803,Mejillones vivos
101018,Mariscos e invertebrados acuáticos,10101804,Ostras vivas
101018,Mariscos e invertebrados acuáticos,10101805,Cangrejos vivos
101018,Mariscos e invertebrados acuáticos,10101806,Abulones vivos
101018,Mariscos e invertebrados acuáticos,10101807,Pulpo vivo
101018,Mariscos e invertebrados acuáticos,10101808,Calamar vivo
101018,Mariscos e invertebrados acuáticos,10101809,Sanguijuelas 
101019,Insectos,10101901,Mariposas
101019,Insectos,10101902,Escarabajos
101019,Insectos,10101903,Abejas
101019,Insectos,10101904,Gusanos de seda
101020,Animales salvajes,10102001,Elefantes
101020,Animales salvajes,10102002,Zorros vivos
101113,Tratamientos para los animales domésticos y accesorios y equipo,10111301,Juguetes para mascotas
101113,Tratamientos para los animales domésticos y accesorios y equipo,10111302,Productos para el aseo y cuidado de mascotas 
101113,Tratamientos para los animales domésticos y accesorios y equipo,10111303,Equipo para el manejo de desperdicios de las mascotas
101113,Tratamientos para los animales domésticos y accesorios y equipo,10111304,Tazones o equipo para alimentación de mascotas
101113,Tratamientos para los animales domésticos y accesorios y equipo,10111305,Tratamientos medicados para mascotas
101113,Tratamientos para los animales domésticos y accesorios y equipo,10111306,Kits para el entrenamiento de mascotas domésticas
101113,Tratamientos para los animales domésticos y accesorios y equipo,10111307,Cobijas para mascotas
101215,Pienso para ganado,10121501,Salvado de trigo puro
101215,Pienso para ganado,10121502,Avena para forraje
101215,Pienso para ganado,10121503,Maíz para forraje
101215,Pienso para ganado,10121504,Sorgo para forraje
101215,Pienso para ganado,10121505,Heno
101215,Pienso para ganado,10121506,Tortas oleaginosas
101215,Pienso para ganado,10121507,Forraje compuesto
101216,Alimento para pájaros y aves de corral,10121601,Alimento vivo para aves
101216,Alimento para pájaros y aves de corral,10121602,Alpiste
101216,Alimento para pájaros y aves de corral,10121603,Pasa bocas o comida recreacional para aves
101216,Alimento para pájaros y aves de corral,10121604,Alimento avícola
101217,Alimento para peces,10121701,Salmuera fresca o congelada
101217,Alimento para peces,10121702,Alimento granulado para peces
101217,Alimento para peces,10121703,Alimento en hojuelas para peces
101218,Alimento para perros y gatos,10121801,Comida seca para perros
101218,Alimento para perros y gatos,10121802,Comida húmeda para perros 
101218,Alimento para perros y gatos,10121803,Leche para perros o gatos
101218,Alimento para perros y gatos,10121804,Comida seca para gatos
101218,Alimento para perros y gatos,10121805,Comida húmeda para gatos 
101218,Alimento para perros y gatos,10121806,Pasa bocas o comida recreacional para gatos o perros
101219,Alimento para roedores,10121901,Comida granulada para roedores
101220,Alimento para reptiles,10122001,Comida granulada para reptiles
101220,Alimento para reptiles,10122002,Comida húmeda para reptiles 
101220,Alimento para reptiles,10122003,Comida viva para reptiles
101221,Comida para animales variados,10122101,Comida para cerdos
101221,Comida para animales variados,10122102,Comida para visones
101221,Comida para animales variados,10122103,Comida para monos
101221,Comida para animales variados,10122104,Comida para conejos
101315,Cobertizos para animales,10131506,Establos para ganado
101315,Cobertizos para animales,10131507,Casas para mascotas domesticadas
101315,Cobertizos para animales,10131508,Camas para mascotas
101316,Recipientes para animales,10131601,Jaulas o sus accesorios
101316,Recipientes para animales,10131602,Perreras
101316,Recipientes para animales,10131603,Equipaje para el transporte de animales
101316,Recipientes para animales,10131604,Correas para perros
101317,Hábitat para animales,10131701,Terrarios
101317,Hábitat para animales,10131702,Acuarios
101415,Talabartería,10141501,Sillas de montar
101415,Talabartería,10141502,Fustas y látigos
101415,Talabartería,10141503,Herraduras para caballo
101415,Talabartería,10141504,Herraduras para mula
101415,Talabartería,10141505,Sillín o pelero
101416,Arneses,10141601,Bridas
